,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.933423410183735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516075671027211,0.0,0.0,7.82874945361612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837527553273325,9.804158532150065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.120882128629468,10.352296560320228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008060692076802,0.0,0.0,0.0,0.0,0.20095951581094848,0.0,0.0,0.0,0.0,10.209784716715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097948597018149,0.7588020395798551,1.0902747020275048,0.3480720916490039,0.20095951581094848,1.1147655941813512,1.5615893961277236,1.1874313600989892,0.0,0.0,0.0,0.0,0.9008060692076802,1.7402303583536487,0.5359129569312414,0.3982545610952228,1.7913907853516464,2.4253771235109474,1.255749076946215,0.49423672965103166,1.207140398608673,4.945337698305503,24.423349151803613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
