,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.592846914262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.734983038362099,0.0,0.0,10.08147163298544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624365846064417,11.913228901799567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36946860866718,13.211269284550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228595314404711,0.0,0.0,0.0,0.0,0.2406013150493896,0.0,0.0,0.0,0.0,13.001553868157412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5843527783154416,0.39258890382064443,1.180641548079298,0.3217883644613691,0.22753873461756233,1.2827770101096845,1.6685670078520822,0.7617346064814887,0.0,0.0,0.0,0.0,0.7264286439104656,1.3570479431342442,0.39258890382064443,0.22753873461756233,1.7770337225777766,1.686605159349858,0.31805124084138486,0.6992028491035395,0.8605081016413614,6.3916016371399715,28.802229393807746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
